,BANK,INIT,ENV,MODEL,COMP,OCC AVG,OCC MIN,RO,TB
8,MFC,FlatStart,D2,xwtri,1037.0,2540.64348982,317.062408,100.0,1600.0
23,MFC,FlatStart,D2,xwtri,1112.0,2485.47916528,409.778137,300.0,1500.0
7,MFC,FlatStart,D2,xwtri,1149.0,2450.84489559,288.286041,100.0,1500.0
16,MFC,FlatStart,D2,xwtri,1155.0,2445.97168751,286.020294,150.0,1500.0
6,MFC,FlatStart,D2,xwtri,1309.0,2251.65485419,290.643036,100.0,1400.0
22,MFC,FlatStart,D2,xwtri,1498.0,2081.68460103,393.388947,300.0,1250.0
15,MFC,FlatStart,D2,xwtri,1515.0,2064.27095629,287.256317,150.0,1250.0
5,MFC,FlatStart,D2,xwtri,1520.0,2057.73449042,287.436188,100.0,1250.0
30,MFC,FlatStart,D2,xwtri,1527.0,2055.45528834,285.837708,75.0,1250.0
25,MFC,FlatStart,D2,xwtri,1640.0,1898.38587766,411.355835,500.0,1100.0
19,MFC,FlatStart,D2,xwtri,1655.0,1965.15418618,312.937195,200.0,1200.0
14,MFC,FlatStart,D2,xwtri,1756.0,1887.07630175,257.285492,150.0,1150.0
4,MFC,FlatStart,D2,xwtri,1783.0,1866.65635811,254.942719,100.0,1150.0
29,MFC,FlatStart,D2,xwtri,1790.0,1865.39980187,255.140259,75.0,1150.0
3,MFC,FlatStart,D2,xwtri,1931.0,1791.6371598,259.131042,100.0,1100.0
13,MFC,FlatStart,D2,xwtri,2022.0,1747.19329177,255.423294,150.0,1050.0
33,MFC,FlatStart,D2,xwtri,2025.0,1603.78701863,409.242035,800.0,600.0
28,MFC,FlatStart,D2,xwtri,2032.0,1734.53357342,256.654419,75.0,1050.0
2,MFC,FlatStart,D2,xwtri,2049.0,1734.43991614,256.930573,100.0,1050.0
18,MFC,FlatStart,D2,xwtri,2165.0,1658.64115932,253.75946,200.0,1000.0
12,MFC,FlatStart,D2,xwtri,2170.0,1660.86968536,251.387024,150.0,1000.0
27,MFC,FlatStart,D2,xwtri,2198.0,1647.46227098,259.057739,75.0,1000.0
1,MFC,FlatStart,D2,xwtri,2207.0,1647.85543174,259.078552,100.0,1000.0
17,MFC,FlatStart,D2,xwtri,2360.0,1589.36476036,251.000778,150.0,950.0
32,MFC,FlatStart,D2,xwtri,2384.0,1581.12369485,249.687393,75.0,950.0
11,MFC,FlatStart,D2,xwtri,2393.0,1581.71117907,249.667328,100.0,950.0
10,MFC,FlatStart,D2,xwtri,2624.0,1505.95829352,210.271957,100.0,900.0
31,MFC,FlatStart,D2,xwtri,2797.0,1445.61119452,191.819138,75.0,850.0
9,MFC,FlatStart,D2,xwtri,2809.0,1445.11038644,191.845184,100.0,850.0
26,MFC,FlatStart,D2,xwtri,2932.0,1369.72752378,406.836121,600.0,600.0
21,MFC,FlatStart,D2,xwtri,3119.0,1348.87025554,263.266083,200.0,800.0
24,MFC,FlatStart,D2,xwtri,3901.0,1197.13232787,267.315826,400.0,600.0
20,MFC,FlatStart,D2,xwtri,4797.0,1070.93342809,170.444473,200.0,600.0
